"","id","cluster"
"1","6","6"
"2","14","6"
"3","18","6"
"4","27","5"
"5","34","1"
"6","37","6"
"7","41","6"
"8","49","2"
"9","50","1"
"10","51","6"
"11","52","4"
"12","61","2"
"13","63","3"
"14","75","1"
"15","87","4"
"16","90","1"
"17","98","5"
"18","99","5"
"19","108","5"
"20","111","4"
"21","115","2"
"22","118","1"
"23","121","3"
"24","122","2"
"25","127","3"
"26","131","5"
"27","137","4"
"28","138","1"
"29","139","2"
"30","145","3"
"31","147","4"
"32","148","4"
"33","149","4"
"34","151","3"
"35","154","4"
"36","155","2"
"37","157","4"
"38","159","5"
"39","164","3"
"40","167","4"
"41","168","4"
"42","169","4"
